2266.0,3301
5665.0,1755
5731.0,1191
10008.0,2703
11842.0,2625
17275.0,1478
22245.0,3280
24763.0,1419
47564.0,2372
47806.0,3370
52830.0,3840
61024.0,2137
65998.0,1844
66121.0,4203
70451.0,2740
73885.0,1101
76467.0,3447
88688.0,1304
91494.0,427
97668.0,4325
101078.0,4673
101781.0,1791
105859.0,2204
111794.0,4861
114643.0,306
118139.0,662
124107.0,3506
134886.0,4285
138633.0,2122
141997.0,2762
143559.0,4608
146283.0,2683
150882.0,881
153368.0,2667
153722.0,1814
165490.0,912
180991.0,4193
183536.0,3877
186655.0,237
191340.0,2018
191651.0,2313
196646.0,3131
197890.0,2215
200284.0,3208
202212.0,2648
202953.0,4338
203993.0,44
210630.0,4633
211918.0,1092
214412.0,2686
214654.0,3345
222956.0,1031
231267.0,3683
234482.0,2627
239529.0,3366
241860.0,4995
243362.0,4679
243544.0,1461
253341.0,2739
254385.0,1183
257895.0,2272
259925.0,3701
259949.0,3352
262741.0,4452
265568.0,2873
266578.0,977
266605.0,4723
274175.0,3564
286371.0,4179
291219.0,4767
294094.0,3468
295771.0,2817
297500.0,1778
297708.0,4424
301422.0,2112
308972.0,3421
309151.0,4775
313420.0,3338
314647.0,3390
316750.0,676
317059.0,4688
319054.0,1132
320396.0,24
321617.0,1200
323395.0,2019
324306.0,1859
324676.0,3917
331282.0,639
331892.0,3194
332080.0,974
337095.0,90
341573.0,4088
345694.0,4769
346675.0,1314
347248.0,4620
348112.0,294
355655.0,3770
356531.0,849
361116.0,1815
361772.0,1236
362352.0,3
364901.0,771
368223.0,696
370022.0,1658
374482.0,84
376342.0,1481
382759.0,393
382940.0,3912
384793.0,4564
389556.0,2059
397221.0,2342
397768.0,3789
401414.0,2450
403011.0,3577
404394.0,4314
405667.0,1683
412402.0,2191
413438.0,1247
414026.0,1670
414221.0,4826
419318.0,4399
425238.0,3291
426607.0,2520
428530.0,517
431801.0,4993
432572.0,3840
433967.0,2906
438857.0,150
440491.0,3988
441883.0,3087
453121.0,3143
454798.0,4353
456301.0,320
457502.0,259
461543.0,3669
467333.0,2795
472854.0,4058
475781.0,310
478029.0,3660
481793.0,4118
484953.0,2885
486053.0,3869
487014.0,1724
493773.0,747
498007.0,4847
498549.0,1640
502369.0,4683
504130.0,1364
507117.0,2242
508136.0,2461
512371.0,3713
513092.0,2657
513255.0,4322
515964.0,1384
520786.0,4525
523492.0,3551
530413.0,1649
530662.0,970
531080.0,1588
535634.0,252
543524.0,4689
545476.0,4038
545834.0,927
546557.0,803
550416.0,3987
551103.0,4768
552115.0,3689
553772.0,3399
554982.0,2338
560780.0,1761
562383.0,1528
563419.0,1252
565459.0,4549
566587.0,2156
574595.0,4287
574931.0,954
578053.0,1398
584173.0,1580
587885.0,297
592875.0,958
594209.0,4133
595372.0,99
598795.0,362
600879.0,2386
605473.0,196
607096.0,3720
607472.0,3962
610762.0,4065
611363.0,1150
612654.0,1429
613410.0,1161
614381.0,4153
614382.0,4936
620170.0,3629
625472.0,721
625819.0,3532
628827.0,2265
634215.0,2332
635986.0,3701
638417.0,2649
642116.0,1667
643745.0,640
647544.0,3735
648528.0,4285
648812.0,470
650174.0,3278
651136.0,1802
651645.0,1848
652603.0,1402
653072.0,1987
655024.0,4181
657045.0,2124
660255.0,3014
662690.0,2091
664540.0,2162
667358.0,858
670845.0,3873
673325.0,1147
674737.0,4076
677365.0,822
677660.0,3702
681107.0,3616
682585.0,3046
683398.0,226
685226.0,2781
685868.0,2160
686460.0,4421
688710.0,216
692052.0,3663
692776.0,724
693020.0,3055
694319.0,2018
695416.0,3588
696202.0,1197
697159.0,4820
700315.0,937
701028.0,3456
703975.0,2272
703992.0,1861
704158.0,1792
704426.0,3803
705950.0,973
711349.0,4980
712139.0,1397
712410.0,3000
712438.0,711
714152.0,337
714762.0,2983
716574.0,2377
723518.0,2192
723569.0,1270
724101.0,2685
727986.0,3709
728204.0,2866
730301.0,3346
734668.0,4335
735260.0,435
735672.0,1739
735733.0,4184
737002.0,2797
738656.0,3546
742599.0,1493
743755.0,3462
745302.0,1466
747215.0,545
748533.0,2004
748776.0,4743
748840.0,1763
750010.0,642
752472.0,3438
752597.0,2079
754705.0,2116
754787.0,3948
755037.0,251
755951.0,4412
761270.0,2
762728.0,3770
763641.0,2118
767513.0,2865
767990.0,2049
769413.0,3087
769810.0,2980
770824.0,349
770854.0,1704
771006.0,3955
774389.0,4353
774751.0,4819
778276.0,3058
780645.0,4402
781393.0,3646
783201.0,4778
784114.0,752
786831.0,2923
791028.0,1193
793864.0,3949
794973.0,2026
796430.0,2090
796766.0,3056
798766.0,1357
800150.0,888
804873.0,19
804988.0,3907
805009.0,3548
806434.0,1632
810121.0,1698
811169.0,3753
814331.0,3918
815297.0,3319
815575.0,4387
823358.0,449
825587.0,453
826899.0,3367
827852.0,1045
828118.0,3992
830375.0,14
831445.0,4984
832894.0,1289
833225.0,1695
834693.0,1910
835886.0,180
837319.0,2851
